length,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
710,80312.5517,0.04225352112676056,63.817605633803055,8.20858211517334,-1.2008450704225353,0.07183098591549296,0.005633802816901409,0.07042253521126761,0.12112676056338029,0.023943661971830985,0.05070422535211268,0.011267605633802818,0.0323943661971831,0.12535211267605634,0.06619718309859154,0.02112676056338028,0.04084507042253521,0.035211267605633804,0.04788732394366197,0.07042253521126761,0.1056338028169014,0.038028169014084505,0.04366197183098591,0.005633802816901409,0.01267605633802817,nuclear
429,46691.236,0.0675990675990676,48.17925407925407,8.90703258514404,-0.08904428904428907,0.11421911421911422,0.02564102564102564,0.04428904428904429,0.05128205128205128,0.037296037296037296,0.07692307692307693,0.03496503496503497,0.016317016317016316,0.039627039627039624,0.14685314685314685,0.011655011655011656,0.018648018648018648,0.06526806526806526,0.04195804195804196,0.07459207459207459,0.07459207459207459,0.027972027972027972,0.0675990675990676,0.004662004662004662,0.02564102564102564,nuclear
248,27479.5159,0.03629032258064516,78.66249999999998,10.22128505706787,-0.8495967741935485,0.10080645161290322,0.012096774193548387,0.028225806451612902,0.07258064516129033,0.012096774193548387,0.06451612903225806,0.036290322580645164,0.016129032258064516,0.04838709677419355,0.0967741935483871,0.016129032258064516,0.012096774193548387,0.056451612903225805,0.08870967741935484,0.10483870967741936,0.13306451612903225,0.03225806451612903,0.04435483870967742,0.016129032258064516,0.008064516129032258,nuclear
422,46671.2799,0.04028436018957346,46.65094786729857,9.789927101135252,-0.826777251184834,0.0924170616113744,0.009478672985781991,0.04976303317535545,0.07819905213270142,0.014218009478672985,0.06635071090047394,0.016587677725118485,0.035545023696682464,0.13744075829383887,0.06398104265402843,0.023696682464454975,0.018957345971563982,0.07819905213270142,0.052132701421800945,0.05924170616113744,0.07109004739336493,0.03317535545023697,0.07345971563981042,0.011848341232227487,0.014218009478672985,nuclear
289,32059.096299999997,0.0657439446366782,68.91733564013839,9.12338848114014,-0.728719723183391,0.08650519031141868,0.03460207612456748,0.01384083044982699,0.0726643598615917,0.02768166089965398,0.06228373702422145,0.02422145328719723,0.010380622837370242,0.058823529411764705,0.07612456747404844,0.03806228373702422,0.06228373702422145,0.09342560553633218,0.0726643598615917,0.06228373702422145,0.08650519031141868,0.02768166089965398,0.05190311418685121,0.0,0.03806228373702422,nuclear
582,65572.4458,0.054982817869415807,43.39280068728526,8.68377857208252,-0.5716494845360824,0.070446735395189,0.020618556701030927,0.054982817869415807,0.08075601374570447,0.022336769759450172,0.054982817869415807,0.027491408934707903,0.037800687285223365,0.09278350515463918,0.09106529209621993,0.029209621993127148,0.044673539518900345,0.048109965635738834,0.048109965635738834,0.05670103092783505,0.06013745704467354,0.04639175257731959,0.08075601374570447,0.00859106529209622,0.024054982817869417,nuclear
560,63132.17109999999,0.06071428571428572,57.45698214285735,4.829859352111816,-0.9114285714285715,0.06607142857142857,0.0035714285714285713,0.09642857142857143,0.11428571428571428,0.03571428571428571,0.06964285714285715,0.023214285714285715,0.02857142857142857,0.07678571428571429,0.10357142857142858,0.017857142857142856,0.019642857142857142,0.05,0.04642857142857143,0.06428571428571428,0.08035714285714286,0.039285714285714285,0.039285714285714285,0.008928571428571428,0.01607142857142857,nuclear
126,13903.580699999999,0.07142857142857142,51.05007936507934,4.9019880294799805,-0.3317460317460318,0.03968253968253968,0.07936507936507936,0.07142857142857142,0.06349206349206349,0.05555555555555555,0.07936507936507936,0.023809523809523808,0.015873015873015872,0.031746031746031744,0.03968253968253968,0.047619047619047616,0.031746031746031744,0.047619047619047616,0.05555555555555555,0.05555555555555555,0.07936507936507936,0.07142857142857142,0.09523809523809523,0.0,0.015873015873015872,nuclear
1905,211195.1795,0.05826771653543307,66.82409973753319,6.219402122497558,-0.639737532808399,0.06666666666666667,0.01784776902887139,0.04304461942257218,0.08713910761154856,0.031496062992125984,0.06194225721784777,0.01994750656167979,0.027821522309711286,0.05721784776902887,0.09448818897637795,0.023097112860892388,0.029921259842519685,0.08766404199475065,0.05616797900262467,0.06404199475065617,0.10026246719160105,0.051443569553805774,0.05301837270341207,0.012073490813648294,0.014698162729658792,nuclear
463,52375.5787,0.05831533477321814,54.53909287257024,9.586335945129392,-0.5384449244060475,0.0755939524838013,0.023758099352051837,0.032397408207343416,0.08855291576673865,0.02591792656587473,0.07775377969762419,0.017278617710583154,0.032397408207343416,0.04967602591792657,0.11447084233261338,0.019438444924406047,0.038876889848812095,0.056155507559395246,0.047516198704103674,0.1101511879049676,0.056155507559395246,0.0367170626349892,0.06479481641468683,0.019438444924406047,0.012958963282937365,nuclear
